model,term,score,direction,rank
logistic_regression,love,9.88074849199697,positive,1
logistic_regression,like,7.747369919935663,positive,2
logistic_regression,great,7.547822347772094,positive,3
logistic_regression,best,7.116973205236859,positive,4
logistic_regression,good,5.8083056010605265,positive,5
logistic_regression,lol,5.54899796884936,positive,6
logistic_regression,better,5.333649505926957,positive,7
logistic_regression,thank,5.266965009774507,positive,8
logistic_regression,fun,5.1261874927278805,positive,9
logistic_regression,amazing,5.046833415114714,positive,10
logistic_regression,hope,4.92052877406239,positive,11
logistic_regression,thanks,4.838125535718025,positive,12
logistic_regression,nice,4.6695806584743,positive,13
logistic_regression,glad,4.63401212217669,positive,14
logistic_regression,beautiful,4.575842991296342,positive,15
logistic_regression,wow,4.529289444090157,positive,16
logistic_regression,cool,4.414635447599434,positive,17
logistic_regression,interesting,4.273354509429182,positive,18
logistic_regression,happy,4.250030063765185,positive,19
logistic_regression,perfect,4.220060122708644,positive,20
logistic_regression,war,-6.908772102756426,negative,1
logistic_regression,hell,-5.8112285144600175,negative,2
logistic_regression,bad,-5.2180394435046304,negative,3
logistic_regression,crazy,-5.216896733026451,negative,4
logistic_regression,dead,-5.15068954412886,negative,5
logistic_regression,insane,-4.374941800487769,negative,6
logistic_regression,evil,-4.3675315079970956,negative,7
logistic_regression,sick,-4.267184421239794,negative,8
logistic_regression,wrong,-4.193271018248683,negative,9
logistic_regression,problem,-4.120910177418573,negative,10
logistic_regression,worst,-4.086493588735776,negative,11
logistic_regression,stupid,-3.932400644052588,negative,12
logistic_regression,horror,-3.8900540117915674,negative,13
logistic_regression,hate,-3.8226263300951318,negative,14
logistic_regression,killed,-3.552397765924172,negative,15
logistic_regression,ass,-3.536629035470558,negative,16
logistic_regression,death,-3.522615491787174,negative,17
logistic_regression,killing,-3.4652894883939287,negative,18
logistic_regression,scary,-3.3709435656648394,negative,19
logistic_regression,sad,-3.3707752081620566,negative,20
random_forest,love,0.023914473306197163,global,1
random_forest,like,0.019980726435400532,global,2
random_forest,great,0.012261956897372708,global,3
random_forest,good,0.010354662607389611,global,4
random_forest,best,0.010036933221925712,global,5
random_forest,war,0.009529347388579223,global,6
random_forest,thank,0.007169869737805156,global,7
random_forest,lol,0.0066466226492480854,global,8
random_forest,better,0.006045560337157602,global,9
random_forest,fun,0.005679263021345935,global,10
random_forest,thanks,0.005425254936600549,global,11
random_forest,amazing,0.0054080241325443175,global,12
random_forest,crazy,0.005401712991686889,global,13
random_forest,nice,0.00488220553506501,global,14
random_forest,hope,0.004494687146348245,global,15
random_forest,cool,0.004489781262114615,global,16
random_forest,bad,0.0044757621770559015,global,17
random_forest,red_heart,0.00438097532640967,global,18
random_forest,happy,0.003944850297507918,global,19
random_forest,beautiful,0.0038514030842185403,global,20
xgboost,love,0.012559994123876095,global,1
xgboost,great,0.009965893812477589,global,2
xgboost,best,0.009602361358702183,global,3
xgboost,thank,0.008708612993359566,global,4
xgboost,war,0.008398343808948994,global,5
xgboost,fun,0.008317241445183754,global,6
xgboost,problem,0.007151142228394747,global,7
xgboost,amazing,0.007097890134900808,global,8
xgboost,good,0.006935148499906063,global,9
xgboost,stupid,0.006935010198503733,global,10
xgboost,loved,0.006434331648051739,global,11
xgboost,thanks,0.006414217874407768,global,12
xgboost,red_heart,0.006254089996218681,global,13
xgboost,lol,0.006074009463191032,global,14
xgboost,hell,0.006057101767510176,global,15
xgboost,happy,0.006003503687679768,global,16
xgboost,hope,0.005980778951197863,global,17
xgboost,crazy,0.005965953692793846,global,18
xgboost,beautiful,0.005951224826276302,global,19
xgboost,cool,0.005597333423793316,global,20
